Day,Month,Year,Obs,Sim
10,4,1953,10.0231,10.5666182
11,4,1953,10.2052,13.83235491
12,4,1953,11.0869,15.18908313
13,4,1953,15.1744,14.57159544
14,4,1953,12.8663,13.18720562
15,4,1953,12.159,12.38436758
16,4,1953,12.1715,12.02645382
17,4,1953,12.0411,11.40453972
18,4,1953,11.5727,10.50031228
19,4,1953,10.7602,9.640705271
20,4,1953,9.55908,8.926028573
21,4,1953,9.2902,8.340276055
22,4,1953,8.58227,7.84122882
23,4,1953,8.76414,7.378266058
24,4,1953,8.78613,7.020709241
25,4,1953,7.39431,7.178727777
26,4,1953,7.27333,7.538955262
27,4,1953,6.87888,8.80006478
28,4,1953,7.68929,9.282064463
29,4,1953,8.47114,10.31749291
30,4,1953,9.21473,10.26620957
1,5,1953,8.74668,9.478320509
2,5,1953,6.53187,8.417381726
3,5,1953,5.89188,7.652338003
4,5,1953,6.46647,7.044595576
5,5,1953,7.3255,6.588144604
6,5,1953,6.88408,6.247578887
7,5,1953,7.43956,6.05832768
8,5,1953,7.52487,6.009205649
9,5,1953,6.56163,5.829222869
10,5,1953,6.24581,5.512783497
11,5,1953,6.20932,5.318227314
12,5,1953,6.01369,5.201155777
13,5,1953,5.55965,5.379243585
14,5,1953,5.60139,5.843048805
15,5,1953,5.97328,6.262823811
16,5,1953,6.35909,7.078329927
17,5,1953,7.04962,7.476787777
18,5,1953,6.28226,7.51662239
19,5,1953,5.15234,7.198525348
20,5,1953,5.30764,7.782561463
21,5,1953,5.48319,8.051039509
22,5,1953,5.83627,7.842745189
23,5,1953,5.11632,7.289597296
24,5,1953,4.57399,6.751467006
25,5,1953,4.67795,6.068268436
26,5,1953,4.61791,6.07959646
27,5,1953,4.40586,6.302020323
28,5,1953,4.71942,6.123727835
29,5,1953,4.62299,5.546227262
30,5,1953,3.96818,5.219668216
31,5,1953,3.59976,5.092053088
1,6,1953,3.69835,4.974331576
2,6,1953,3.69616,4.87885054
3,6,1953,4.11595,4.848782909
4,6,1953,3.57017,4.780315796
5,6,1953,3.55145,4.643286735
6,6,1953,3.20536,4.464456119
7,6,1953,3.31711,4.292066079
8,6,1953,3.09277,4.133983457
9,6,1953,2.77304,4.022659704
10,6,1953,2.76641,3.914540665
11,6,1953,2.37666,3.807837622
12,6,1953,2.34301,3.699433055
13,6,1953,2.13889,3.602162723
14,6,1953,2.66944,4.012451784
15,6,1953,3.42518,4.902057652
16,6,1953,3.63212,5.116875811
17,6,1953,4.47762,4.49924593
18,6,1953,3.75312,3.984417576
19,6,1953,3.67055,3.657002741
20,6,1953,2.71654,3.672865966
21,6,1953,2.539,4.149900774
22,6,1953,2.45878,4.367989683
23,6,1953,2.19816,3.845411192
24,6,1953,2.18703,3.241148716
25,6,1953,2.26031,3.157003262
26,6,1953,2.10892,3.511485357
27,6,1953,1.89432,3.711020582
28,6,1953,2.44942,3.460065396
29,6,1953,2.36934,3.05510129
30,6,1953,2.4848,2.904000933
1,7,1953,1.99179,3.034345162
2,7,1953,1.99153,3.122571521
3,7,1953,1.95153,3.127153909
4,7,1953,1.87436,3.073562293
5,7,1953,2.20012,3.293536771
6,7,1953,2.12711,3.66129214
7,7,1953,2.48816,3.741677122
8,7,1953,2.32362,4.022550735
9,7,1953,2.46801,4.231550168
10,7,1953,2.56372,3.885812534
11,7,1953,2.46193,4.28659797
12,7,1953,2.4882,4.841454284
13,7,1953,2.73718,5.847820049
14,7,1953,3.02085,7.03997571
15,7,1953,3.19316,7.390884341
16,7,1953,3.18359,7.053328
17,7,1953,3.65193,7.893596442
18,7,1953,3.80095,7.932485591
19,7,1953,3.60115,7.935234817
20,7,1953,3,7.849341555
21,7,1953,3.04882,7.738484649
22,7,1953,3.37373,7.373943247
23,7,1953,3.47331,6.928363555
24,7,1953,3.83316,8.448659192
25,7,1953,3.53562,10.46009631
26,7,1953,4.83061,14.35038184
27,7,1953,7.51542,15.48527697
28,7,1953,9.83886,15.49977726
29,7,1953,11.0481,14.22808401
30,7,1953,11.914,13.03852867
31,7,1953,10.584,11.67303622
1,8,1953,8.43006,10.07151345
2,8,1953,6.28842,8.606493509
3,8,1953,5.18492,7.487951024
4,8,1953,4.99028,6.823534329
5,8,1953,4.63632,6.40953282
6,8,1953,4.10581,5.954934546
7,8,1953,3.84175,5.480415604
8,8,1953,3.39469,5.101953665
9,8,1953,3.98514,5.057815918
10,8,1953,4.16891,5.098093777
11,8,1953,4.03467,4.816966591
12,8,1953,3.25915,4.396883869
13,8,1953,3.32669,4.08254364
14,8,1953,3.29343,4.89697643
15,8,1953,3.39391,5.518512942
16,8,1953,3.08446,5.141959351
17,8,1953,3.18063,6.361133009
18,8,1953,3.58648,6.992948701
19,8,1953,4.24711,6.65747682
20,8,1953,5.40728,7.91152907
21,8,1953,5.97024,10.03225622
22,8,1953,6.09628,10.13787722
23,8,1953,5.9774,9.395603671
24,8,1953,6.04973,10.09429602
25,8,1953,5.77307,10.03841328
26,8,1953,5.93071,9.16463861
27,8,1953,5.57058,7.94907504
28,8,1953,5.68594,9.474394991
29,8,1953,4.92038,11.86365677
30,8,1953,6.19035,16.95872055
31,8,1953,12.2503,25.99283133
1,9,1953,25.9923,34.9382597
2,9,1953,33.4779,40.87531835
3,9,1953,33.6,40.77152999
4,9,1953,29.3113,37.19612733
5,9,1953,22.052,30.76521629
6,9,1953,18.4542,24.40764187
7,9,1953,12.9035,19.4192006
8,9,1953,11.7707,15.61334906
9,9,1953,10.5942,12.8553344
10,9,1953,10.2069,11.07307221
11,9,1953,9.39516,9.88777353
12,9,1953,6.79492,9.006486832
13,9,1953,5.6792,8.327225399
14,9,1953,5.60481,9.131441232
15,9,1953,5.9045,9.408715966
16,9,1953,6.09837,9.633714095
17,9,1953,5.81032,9.274356253
18,9,1953,6.07103,9.032800024
19,9,1953,6.68674,20.3283057
20,9,1953,24.0451,27.96873326
21,9,1953,35.6688,41.59987403
22,9,1953,40.6739,47.78214767
23,9,1953,43.9584,47.6407801
24,9,1953,33.4262,42.75342541
25,9,1953,26.828,35.85479958
26,9,1953,23.7668,28.88723969
27,9,1953,21.315,25.01954796
28,9,1953,19.437,22.34406406
29,9,1953,19.804,20.94173016
30,9,1953,20.3945,21.54376903
1,10,1953,20.4221,20.84102963
2,10,1953,20.3395,19.55599252
3,10,1953,19.0512,17.85491925
4,10,1953,17.707,15.97060355
5,10,1953,16.1089,14.20787623
